city,lon,lat,weather_main,weather_description,temp,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_deg,clouds_all,dt,sunrise,sunset,country,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,air_quality_dt
Lahore,74.3436,31.5497,Smoke,smoke,284.14,283.15,284.14,284.14,1020,71,4000,0,0,1,26/12/2024 19:59,27/12/2024 2:00,27/12/2024 12:06,PK,5,3311.16,1.75,74.03,4.92,6.62,393.77,489,15.96,26/12/2024 20:00
Karachi,67.0822,24.9056,Haze,haze,289.05,287.51,289.05,289.05,1020,31,5000,3.09,30,0,26/12/2024 19:56,27/12/2024 2:14,27/12/2024 12:50,PK,5,807.76,0,12.51,114.44,13.11,96.04,121.54,7.6,26/12/2024 20:00
Islamabad,73.1338,33.7104,Clear,clear sky,281.95,280.93,281.95,281.95,1021,66,10000,2.02,43,0,26/12/2024 19:58,27/12/2024 2:10,27/12/2024 12:06,PK,5,4592.9,70.63,120.64,0,13.35,169.53,229.4,27.61,26/12/2024 20:00
Lahore,74.3436,31.5497,Clouds,overcast clouds,284.14,283.57,284.14,284.14,1020,87,1000,1.54,220,100,27/12/2024 6:38,27/12/2024 2:00,27/12/2024 12:06,PK,5,3952.03,14.75,89.11,101.57,25.75,412.97,487.37,16.21,27/12/2024 6:40
Karachi,67.0822,24.9056,Haze,haze,294.05,292.8,294.05,294.05,1022,23,4000,1.54,360,0,27/12/2024 6:28,27/12/2024 2:14,27/12/2024 12:50,PK,4,734.33,2.65,14.57,124.45,12.28,57.58,85.18,8.11,27/12/2024 6:40
Islamabad,73.1338,33.7104,Clouds,few clouds,290.84,289.79,290.84,290.84,1021,43,10000,2.47,202,20,27/12/2024 6:39,27/12/2024 2:10,27/12/2024 12:06,PK,5,1922.61,11.29,54.15,80.11,26.46,116.31,137.06,9.37,27/12/2024 6:40
Lahore,74.3436,31.5497,Clouds,overcast clouds,284.14,283.57,284.14,284.14,1020,87,1000,1.54,220,100,27/12/2024 6:38,27/12/2024 2:00,27/12/2024 12:06,PK,5,3952.03,14.75,89.11,101.57,25.75,412.97,487.37,16.21,27/12/2024 6:40
Karachi,67.0822,24.9056,Haze,haze,294.05,292.8,294.05,294.05,1021,23,4000,1.54,360,0,27/12/2024 6:36,27/12/2024 2:14,27/12/2024 12:50,PK,4,734.33,2.65,14.57,124.45,12.28,57.58,85.18,8.11,27/12/2024 6:40
Islamabad,73.1338,33.7104,Clouds,few clouds,290.84,289.79,290.84,290.84,1021,43,10000,2.47,202,20,27/12/2024 6:39,27/12/2024 2:10,27/12/2024 12:06,PK,5,1922.61,11.29,54.15,80.11,26.46,116.31,137.06,9.37,27/12/2024 6:40
Lahore,74.3436,31.5497,Clouds,overcast clouds,284.14,283.57,284.14,284.14,1020,87,1000,1.54,220,100,27/12/2024 6:38,27/12/2024 2:00,27/12/2024 12:06,PK,5,3952.03,14.75,89.11,101.57,25.75,412.97,487.37,16.21,27/12/2024 6:40
Karachi,67.0822,24.9056,Haze,haze,294.05,292.8,294.05,294.05,1021,23,4000,1.54,360,0,27/12/2024 6:36,27/12/2024 2:14,27/12/2024 12:50,PK,4,734.33,2.65,14.57,124.45,12.28,57.58,85.18,8.11,27/12/2024 6:40
Islamabad,73.1338,33.7104,Clouds,few clouds,290.84,289.79,290.84,290.84,1021,43,10000,2.47,202,20,27/12/2024 6:39,27/12/2024 2:10,27/12/2024 12:06,PK,5,1922.61,11.29,54.15,80.11,26.46,116.31,137.06,9.37,27/12/2024 6:40
Lahore,74.3436,31.5497,Mist,mist,286.14,285.79,286.14,286.14,1019,88,800,3.09,40,100,27/12/2024 9:30,27/12/2024 2:00,27/12/2024 12:06,PK,5,2777.1,3.58,63.06,155.93,40.05,344.28,409.48,17.73,27/12/2024 9:42
Karachi,67.0822,24.9056,Haze,haze,299.05,297.98,299.05,299.05,1018,11,4000,2.57,340,0,27/12/2024 9:40,27/12/2024 2:14,27/12/2024 12:50,PK,3,614.17,1.93,12.34,124.45,10.01,41.92,65.27,6.71,27/12/2024 9:42
Islamabad,73.1338,33.7104,Clouds,broken clouds,289.73,288.88,289.73,289.73,1019,55,10000,1.58,115,78,27/12/2024 9:39,27/12/2024 2:10,27/12/2024 12:06,PK,5,1762.39,6.87,56.89,82.97,12.76,120.34,144.3,13.68,27/12/2024 9:42
Lahore,74.3436,31.5497,Mist,mist,286.14,285.79,286.14,286.14,1019,88,800,3.09,40,100,27/12/2024 9:30,27/12/2024 2:00,27/12/2024 12:06,PK,5,2777.1,3.58,63.06,155.93,40.05,344.28,409.48,17.73,27/12/2024 9:42
Karachi,67.0822,24.9056,Haze,haze,299.05,297.98,299.05,299.05,1018,11,4000,2.57,340,0,27/12/2024 9:40,27/12/2024 2:14,27/12/2024 12:50,PK,3,614.17,1.93,12.34,124.45,10.01,41.92,65.27,6.71,27/12/2024 9:42
